MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
110.99,110.99,110.99,110.99,110.99,98.58,98.58,98.58,98.58,98.58,97.2
112.88,112.88,112.88,112.88,112.88,100.82,100.82,100.82,100.82,100.82,98.23
114.78,114.78,114.78,114.78,114.78,103.06,103.06,103.06,103.06,103.06,99.27
116.67,116.67,116.67,116.67,116.67,105.3,105.3,105.3,105.3,105.3,100.3
118.57,118.57,118.57,118.57,118.57,107.54,107.54,107.54,107.54,107.54,101.34
120.46,120.46,120.46,120.46,120.46,109.78,109.78,109.78,109.78,109.78,102.37
122.36,122.36,122.36,122.36,122.36,112.02,112.02,112.02,112.02,112.02,103.4
126.67,126.67,126.67,126.67,126.67,114.89,114.89,114.89,114.89,114.89,106.28
130.98,130.98,130.98,130.98,130.98,117.76,117.76,117.76,117.76,117.76,109.15
135.29,135.29,135.29,135.29,135.29,120.64,120.64,120.64,120.64,120.64,112.02
139.59,139.59,139.59,139.59,139.59,123.51,123.51,123.51,123.51,123.51,114.89
78.24,78.24,78.24,78.24,78.24,72.73,72.73,72.73,72.73,72.73,71.52
81.0,81.0,81.0,81.0,81.0,75.83,75.83,75.83,75.83,75.83,73.24
83.76,83.76,83.76,83.76,83.76,78.93,78.93,78.93,78.93,78.93,74.97
86.51,86.51,86.51,86.51,86.51,82.03,82.03,82.03,82.03,82.03,76.69
89.27,89.27,89.27,89.27,89.27,85.14,85.14,85.14,85.14,85.14,78.41
92.03,92.03,92.03,92.03,92.03,88.24,88.24,88.24,88.24,88.24,80.14
94.79,94.79,94.79,94.79,94.79,91.34,91.34,91.34,91.34,91.34,81.86
93.35,93.35,93.35,93.35,93.35,89.62,89.62,89.62,89.62,89.62,81.86
91.91,91.91,91.91,91.91,91.91,87.89,87.89,87.89,87.89,87.89,81.86
90.48,90.48,90.48,90.48,90.48,86.17,86.17,86.17,86.17,86.17,81.86
89.04,89.04,89.04,89.04,89.04,84.45,84.45,84.45,84.45,84.45,81.86
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
78.24,78.24,78.24,78.24,78.24,72.73,72.73,72.73,72.73,72.73,71.52
81.0,81.0,81.0,81.0,81.0,75.83,75.83,75.83,75.83,75.83,73.24
83.76,83.76,83.76,83.76,83.76,78.93,78.93,78.93,78.93,78.93,74.97
86.51,86.51,86.51,86.51,86.51,82.03,82.03,82.03,82.03,82.03,76.69
89.27,89.27,89.27,89.27,89.27,85.14,85.14,85.14,85.14,85.14,78.41
92.03,92.03,92.03,92.03,92.03,88.24,88.24,88.24,88.24,88.24,80.14
94.79,94.79,94.79,94.79,94.79,91.34,91.34,91.34,91.34,91.34,81.86
93.35,93.35,93.35,93.35,93.35,89.62,89.62,89.62,89.62,89.62,81.86
91.91,91.91,91.91,91.91,91.91,87.89,87.89,87.89,87.89,87.89,81.86
90.48,90.48,90.48,90.48,90.48,86.17,86.17,86.17,86.17,86.17,81.86
89.04,89.04,89.04,89.04,89.04,84.45,84.45,84.45,84.45,84.45,81.86
75.75,75.75,75.75,75.75,75.75,70.41,70.41,70.41,70.41,70.41,69.24
78.42,78.42,78.42,78.42,78.42,73.41,73.41,73.41,73.41,73.41,70.91
81.09,81.09,81.09,81.09,81.09,76.41,76.41,76.41,76.41,76.41,72.58
83.76,83.76,83.76,83.76,83.76,79.42,79.42,79.42,79.42,79.42,74.25
86.43,86.43,86.43,86.43,86.43,82.42,82.42,82.42,82.42,82.42,75.91
89.09,89.09,89.09,89.09,89.09,85.42,85.42,85.42,85.42,85.42,77.58
91.76,91.76,91.76,91.76,91.76,88.43,88.43,88.43,88.43,88.43,79.25
90.37,90.37,90.37,90.37,90.37,86.76,86.76,86.76,86.76,86.76,79.25
88.98,88.98,88.98,88.98,88.98,85.09,85.09,85.09,85.09,85.09,79.25
87.59,87.59,87.59,87.59,87.59,83.42,83.42,83.42,83.42,83.42,79.25
86.2,86.2,86.2,86.2,86.2,81.75,81.75,81.75,81.75,81.75,79.25
79.97,79.97,79.97,79.97,79.97,77.9,77.9,77.9,77.9,77.9,77.21
81.86,81.86,81.86,81.86,81.86,79.28,79.28,79.28,79.28,79.28,77.55
83.76,83.76,83.76,83.76,83.76,80.65,80.65,80.65,80.65,80.65,77.9
85.65,85.65,85.65,85.65,85.65,82.03,82.03,82.03,82.03,82.03,78.24
87.55,87.55,87.55,87.55,87.55,83.41,83.41,83.41,83.41,83.41,78.59
89.44,89.44,89.44,89.44,89.44,84.79,84.79,84.79,84.79,84.79,78.93
91.34,91.34,91.34,91.34,91.34,86.17,86.17,86.17,86.17,86.17,79.28
92.49,92.49,92.49,92.49,92.49,87.03,87.03,87.03,87.03,87.03,80.14
93.64,93.64,93.64,93.64,93.64,87.89,87.89,87.89,87.89,87.89,81.0
94.79,94.79,94.79,94.79,94.79,88.75,88.75,88.75,88.75,88.75,81.86
95.94,95.94,95.94,95.94,95.94,89.62,89.62,89.62,89.62,89.62,82.72
118.0,118.0,118.0,118.0,118.0,107.72,107.72,107.72,107.72,107.72,103.0
119.69,119.69,119.69,119.69,119.69,108.73,108.73,108.73,108.73,108.73,101.99
121.38,121.38,121.38,121.38,121.38,109.74,109.74,109.74,109.74,109.74,100.98
123.06,123.06,123.06,123.06,123.06,110.76,110.76,110.76,110.76,110.76,99.97
124.75,124.75,124.75,124.75,124.75,111.77,111.77,111.77,111.77,111.77,98.96
126.43,126.43,126.43,126.43,126.43,112.78,112.78,112.78,112.78,112.78,97.94
128.12,128.12,128.12,128.12,128.12,113.79,113.79,113.79,113.79,113.79,96.93
139.64,139.64,139.64,139.64,139.64,124.19,124.19,124.19,124.19,124.19,103.68
151.16,151.16,151.16,151.16,151.16,134.58,134.58,134.58,134.58,134.58,110.42
162.68,162.68,162.68,162.68,162.68,144.98,144.98,144.98,144.98,144.98,117.16
174.2,174.2,174.2,174.2,174.2,155.37,155.37,155.37,155.37,155.37,123.9
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
107.45,107.45,107.45,107.45,107.45,95.44,95.44,95.44,95.44,95.44,94.1
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
111.12,111.12,111.12,111.12,111.12,99.77,99.77,99.77,99.77,99.77,96.1
112.95,112.95,112.95,112.95,112.95,101.94,101.94,101.94,101.94,101.94,97.1
114.79,114.79,114.79,114.79,114.79,104.11,104.11,104.11,104.11,104.11,98.1
116.62,116.62,116.62,116.62,116.62,106.28,106.28,106.28,106.28,106.28,99.11
118.46,118.46,118.46,118.46,118.46,108.45,108.45,108.45,108.45,108.45,100.11
122.63,122.63,122.63,122.63,122.63,111.23,111.23,111.23,111.23,111.23,102.89
126.8,126.8,126.8,126.8,126.8,114.01,114.01,114.01,114.01,114.01,105.67
130.97,130.97,130.97,130.97,130.97,116.79,116.79,116.79,116.79,116.79,108.45
135.14,135.14,135.14,135.14,135.14,119.57,119.57,119.57,119.57,119.57,111.23
110.99,110.99,110.99,110.99,110.99,98.58,98.58,98.58,98.58,98.58,97.2
112.88,112.88,112.88,112.88,112.88,100.82,100.82,100.82,100.82,100.82,98.23
114.78,114.78,114.78,114.78,114.78,103.06,103.06,103.06,103.06,103.06,99.27
116.67,116.67,116.67,116.67,116.67,105.3,105.3,105.3,105.3,105.3,100.3
118.57,118.57,118.57,118.57,118.57,107.54,107.54,107.54,107.54,107.54,101.34
120.46,120.46,120.46,120.46,120.46,109.78,109.78,109.78,109.78,109.78,102.37
122.36,122.36,122.36,122.36,122.36,112.02,112.02,112.02,112.02,112.02,103.4
126.67,126.67,126.67,126.67,126.67,114.89,114.89,114.89,114.89,114.89,106.28
130.98,130.98,130.98,130.98,130.98,117.76,117.76,117.76,117.76,117.76,109.15
135.29,135.29,135.29,135.29,135.29,120.64,120.64,120.64,120.64,120.64,112.02
139.59,139.59,139.59,139.59,139.59,123.51,123.51,123.51,123.51,123.51,114.89
98.77,98.77,98.77,98.77,98.77,90.76,90.76,90.76,90.76,90.76,88.43
100.11,100.11,100.11,100.11,100.11,90.93,90.93,90.93,90.93,90.93,87.59
101.44,101.44,101.44,101.44,101.44,91.1,91.1,91.1,91.1,91.1,86.76
102.78,102.78,102.78,102.78,102.78,91.26,91.26,91.26,91.26,91.26,85.92
104.11,104.11,104.11,104.11,104.11,91.43,91.43,91.43,91.43,91.43,85.09
105.45,105.45,105.45,105.45,105.45,91.6,91.6,91.6,91.6,91.6,84.26
106.78,106.78,106.78,106.78,106.78,91.76,91.76,91.76,91.76,91.76,83.42
111.23,111.23,111.23,111.23,111.23,98.72,98.72,98.72,98.72,98.72,91.76
115.68,115.68,115.68,115.68,115.68,105.67,105.67,105.67,105.67,105.67,100.11
120.13,120.13,120.13,120.13,120.13,112.62,112.62,112.62,112.62,112.62,108.45
124.58,124.58,124.58,124.58,124.58,119.57,119.57,119.57,119.57,119.57,116.79
107.45,107.45,107.45,107.45,107.45,95.44,95.44,95.44,95.44,95.44,94.1
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
111.12,111.12,111.12,111.12,111.12,99.77,99.77,99.77,99.77,99.77,96.1
112.95,112.95,112.95,112.95,112.95,101.94,101.94,101.94,101.94,101.94,97.1
114.79,114.79,114.79,114.79,114.79,104.11,104.11,104.11,104.11,104.11,98.1
116.62,116.62,116.62,116.62,116.62,106.28,106.28,106.28,106.28,106.28,99.11
118.46,118.46,118.46,118.46,118.46,108.45,108.45,108.45,108.45,108.45,100.11
122.63,122.63,122.63,122.63,122.63,111.23,111.23,111.23,111.23,111.23,102.89
126.8,126.8,126.8,126.8,126.8,114.01,114.01,114.01,114.01,114.01,105.67
130.97,130.97,130.97,130.97,130.97,116.79,116.79,116.79,116.79,116.79,108.45
135.14,135.14,135.14,135.14,135.14,119.57,119.57,119.57,119.57,119.57,111.23
108.4,108.4,108.4,108.4,108.4,88.75,88.75,88.75,88.75,88.75,83.58
108.57,108.57,108.57,108.57,108.57,90.48,90.48,90.48,90.48,90.48,86.17
108.75,108.75,108.75,108.75,108.75,92.2,92.2,92.2,92.2,92.2,88.75
108.92,108.92,108.92,108.92,108.92,93.92,93.92,93.92,93.92,93.92,91.34
109.09,109.09,109.09,109.09,109.09,95.65,95.65,95.65,95.65,95.65,93.92
109.26,109.26,109.26,109.26,109.26,97.37,97.37,97.37,97.37,97.37,96.51
109.44,109.44,109.44,109.44,109.44,99.09,99.09,99.09,99.09,99.09,99.09
113.17,113.17,113.17,113.17,113.17,100.53,100.53,100.53,100.53,100.53,99.09
116.9,116.9,116.9,116.9,116.9,101.97,101.97,101.97,101.97,101.97,99.09
120.64,120.64,120.64,120.64,120.64,103.4,103.4,103.4,103.4,103.4,99.09
124.37,124.37,124.37,124.37,124.37,104.84,104.84,104.84,104.84,104.84,99.09
98.77,98.77,98.77,98.77,98.77,90.76,90.76,90.76,90.76,90.76,88.43
100.11,100.11,100.11,100.11,100.11,90.93,90.93,90.93,90.93,90.93,87.59
101.44,101.44,101.44,101.44,101.44,91.1,91.1,91.1,91.1,91.1,86.76
102.78,102.78,102.78,102.78,102.78,91.26,91.26,91.26,91.26,91.26,85.92
104.11,104.11,104.11,104.11,104.11,91.43,91.43,91.43,91.43,91.43,85.09
105.45,105.45,105.45,105.45,105.45,91.6,91.6,91.6,91.6,91.6,84.26
106.78,106.78,106.78,106.78,106.78,91.76,91.76,91.76,91.76,91.76,83.42
111.23,111.23,111.23,111.23,111.23,98.72,98.72,98.72,98.72,98.72,91.76
115.68,115.68,115.68,115.68,115.68,105.67,105.67,105.67,105.67,105.67,100.11
120.13,120.13,120.13,120.13,120.13,112.62,112.62,112.62,112.62,112.62,108.45
124.58,124.58,124.58,124.58,124.58,119.57,119.57,119.57,119.57,119.57,116.79
107.45,107.45,107.45,107.45,107.45,95.44,95.44,95.44,95.44,95.44,94.1
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
111.12,111.12,111.12,111.12,111.12,99.77,99.77,99.77,99.77,99.77,96.1
112.95,112.95,112.95,112.95,112.95,101.94,101.94,101.94,101.94,101.94,97.1
114.79,114.79,114.79,114.79,114.79,104.11,104.11,104.11,104.11,104.11,98.1
116.62,116.62,116.62,116.62,116.62,106.28,106.28,106.28,106.28,106.28,99.11
118.46,118.46,118.46,118.46,118.46,108.45,108.45,108.45,108.45,108.45,100.11
122.63,122.63,122.63,122.63,122.63,111.23,111.23,111.23,111.23,111.23,102.89
126.8,126.8,126.8,126.8,126.8,114.01,114.01,114.01,114.01,114.01,105.67
130.97,130.97,130.97,130.97,130.97,116.79,116.79,116.79,116.79,116.79,108.45
135.14,135.14,135.14,135.14,135.14,119.57,119.57,119.57,119.57,119.57,111.23
86.59,86.59,86.59,86.59,86.59,82.92,82.92,82.92,82.92,82.92,81.09
89.26,89.26,89.26,89.26,89.26,85.09,85.09,85.09,85.09,85.09,83.42
91.93,91.93,91.93,91.93,91.93,87.26,87.26,87.26,87.26,87.26,85.76
94.6,94.6,94.6,94.6,94.6,89.43,89.43,89.43,89.43,89.43,88.09
97.27,97.27,97.27,97.27,97.27,91.6,91.6,91.6,91.6,91.6,90.43
99.94,99.94,99.94,99.94,99.94,93.77,93.77,93.77,93.77,93.77,92.77
102.61,102.61,102.61,102.61,102.61,95.94,95.94,95.94,95.94,95.94,95.1
103.17,103.17,103.17,103.17,103.17,97.33,97.33,97.33,97.33,97.33,96.77
103.72,103.72,103.72,103.72,103.72,98.72,98.72,98.72,98.72,98.72,98.44
104.28,104.28,104.28,104.28,104.28,100.11,100.11,100.11,100.11,100.11,100.11
104.83,104.83,104.83,104.83,104.83,101.5,101.5,101.5,101.5,101.5,101.78
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
77.42,77.42,77.42,77.42,77.42,75.41,75.41,75.41,75.41,75.41,74.75
79.25,79.25,79.25,79.25,79.25,76.75,76.75,76.75,76.75,76.75,75.08
81.09,81.09,81.09,81.09,81.09,78.08,78.08,78.08,78.08,78.08,75.41
82.92,82.92,82.92,82.92,82.92,79.42,79.42,79.42,79.42,79.42,75.75
84.76,84.76,84.76,84.76,84.76,80.75,80.75,80.75,80.75,80.75,76.08
86.59,86.59,86.59,86.59,86.59,82.09,82.09,82.09,82.09,82.09,76.41
88.43,88.43,88.43,88.43,88.43,83.42,83.42,83.42,83.42,83.42,76.75
89.54,89.54,89.54,89.54,89.54,84.26,84.26,84.26,84.26,84.26,77.58
90.65,90.65,90.65,90.65,90.65,85.09,85.09,85.09,85.09,85.09,78.42
91.76,91.76,91.76,91.76,91.76,85.92,85.92,85.92,85.92,85.92,79.25
92.88,92.88,92.88,92.88,92.88,86.76,86.76,86.76,86.76,86.76,80.09
109.95,109.95,109.95,109.95,109.95,97.1,97.1,97.1,97.1,97.1,95.77
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
108.62,108.62,108.62,108.62,108.62,98.1,98.1,98.1,98.1,98.1,94.43
107.95,107.95,107.95,107.95,107.95,98.61,98.61,98.61,98.61,98.61,93.77
107.28,107.28,107.28,107.28,107.28,99.11,99.11,99.11,99.11,99.11,93.1
106.61,106.61,106.61,106.61,106.61,99.61,99.61,99.61,99.61,99.61,92.43
105.95,105.95,105.95,105.95,105.95,100.11,100.11,100.11,100.11,100.11,91.76
109.56,109.56,109.56,109.56,109.56,102.89,102.89,102.89,102.89,102.89,95.94
113.18,113.18,113.18,113.18,113.18,105.67,105.67,105.67,105.67,105.67,100.11
116.79,116.79,116.79,116.79,116.79,108.45,108.45,108.45,108.45,108.45,104.28
120.41,120.41,120.41,120.41,120.41,111.23,111.23,111.23,111.23,111.23,108.45
113.57,113.57,113.57,113.57,113.57,100.3,100.3,100.3,100.3,100.3,98.92
112.88,112.88,112.88,112.88,112.88,100.82,100.82,100.82,100.82,100.82,98.23
112.19,112.19,112.19,112.19,112.19,101.34,101.34,101.34,101.34,101.34,97.54
111.5,111.5,111.5,111.5,111.5,101.85,101.85,101.85,101.85,101.85,96.85
110.81,110.81,110.81,110.81,110.81,102.37,102.37,102.37,102.37,102.37,96.17
110.12,110.12,110.12,110.12,110.12,102.89,102.89,102.89,102.89,102.89,95.48
109.44,109.44,109.44,109.44,109.44,103.4,103.4,103.4,103.4,103.4,94.79
113.17,113.17,113.17,113.17,113.17,106.28,106.28,106.28,106.28,106.28,99.09
116.9,116.9,116.9,116.9,116.9,109.15,109.15,109.15,109.15,109.15,103.4
120.64,120.64,120.64,120.64,120.64,112.02,112.02,112.02,112.02,112.02,107.71
124.37,124.37,124.37,124.37,124.37,114.89,114.89,114.89,114.89,114.89,112.02
106.04,106.04,106.04,106.04,106.04,86.82,86.82,86.82,86.82,86.82,81.76
106.2,106.2,106.2,106.2,106.2,88.5,88.5,88.5,88.5,88.5,84.29
106.37,106.37,106.37,106.37,106.37,90.19,90.19,90.19,90.19,90.19,86.82
106.54,106.54,106.54,106.54,106.54,91.88,91.88,91.88,91.88,91.88,89.35
106.71,106.71,106.71,106.71,106.71,93.56,93.56,93.56,93.56,93.56,91.88
106.88,106.88,106.88,106.88,106.88,95.25,95.25,95.25,95.25,95.25,94.4
107.05,107.05,107.05,107.05,107.05,96.93,96.93,96.93,96.93,96.93,96.93
110.7,110.7,110.7,110.7,110.7,98.34,98.34,98.34,98.34,98.34,96.93
114.35,114.35,114.35,114.35,114.35,99.74,99.74,99.74,99.74,99.74,96.93
118.0,118.0,118.0,118.0,118.0,101.15,101.15,101.15,101.15,101.15,96.93
121.66,121.66,121.66,121.66,121.66,102.55,102.55,102.55,102.55,102.55,96.93
107.45,107.45,107.45,107.45,107.45,95.44,95.44,95.44,95.44,95.44,94.1
109.28,109.28,109.28,109.28,109.28,97.6,97.6,97.6,97.6,97.6,95.1
111.12,111.12,111.12,111.12,111.12,99.77,99.77,99.77,99.77,99.77,96.1
112.95,112.95,112.95,112.95,112.95,101.94,101.94,101.94,101.94,101.94,97.1
114.79,114.79,114.79,114.79,114.79,104.11,104.11,104.11,104.11,104.11,98.1
116.62,116.62,116.62,116.62,116.62,106.28,106.28,106.28,106.28,106.28,99.11
118.46,118.46,118.46,118.46,118.46,108.45,108.45,108.45,108.45,108.45,100.11
122.63,122.63,122.63,122.63,122.63,111.23,111.23,111.23,111.23,111.23,102.89
126.8,126.8,126.8,126.8,126.8,114.01,114.01,114.01,114.01,114.01,105.67
130.97,130.97,130.97,130.97,130.97,116.79,116.79,116.79,116.79,116.79,108.45
135.14,135.14,135.14,135.14,135.14,119.57,119.57,119.57,119.57,119.57,111.23
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
89.44,89.44,89.44,89.44,89.44,85.65,85.65,85.65,85.65,85.65,83.76
92.2,92.2,92.2,92.2,92.2,87.89,87.89,87.89,87.89,87.89,86.17
94.96,94.96,94.96,94.96,94.96,90.13,90.13,90.13,90.13,90.13,88.58
97.72,97.72,97.72,97.72,97.72,92.37,92.37,92.37,92.37,92.37,90.99
100.47,100.47,100.47,100.47,100.47,94.61,94.61,94.61,94.61,94.61,93.41
103.23,103.23,103.23,103.23,103.23,96.85,96.85,96.85,96.85,96.85,95.82
105.99,105.99,105.99,105.99,105.99,99.09,99.09,99.09,99.09,99.09,98.23
106.56,106.56,106.56,106.56,106.56,100.53,100.53,100.53,100.53,100.53,99.96
107.14,107.14,107.14,107.14,107.14,101.97,101.97,101.97,101.97,101.97,101.68
107.71,107.71,107.71,107.71,107.71,103.4,103.4,103.4,103.4,103.4,103.4
108.29,108.29,108.29,108.29,108.29,104.84,104.84,104.84,104.84,104.84,105.13
75.75,75.75,75.75,75.75,75.75,70.41,70.41,70.41,70.41,70.41,69.24
78.42,78.42,78.42,78.42,78.42,73.41,73.41,73.41,73.41,73.41,70.91
81.09,81.09,81.09,81.09,81.09,76.41,76.41,76.41,76.41,76.41,72.58
83.76,83.76,83.76,83.76,83.76,79.42,79.42,79.42,79.42,79.42,74.25
86.43,86.43,86.43,86.43,86.43,82.42,82.42,82.42,82.42,82.42,75.91
89.09,89.09,89.09,89.09,89.09,85.42,85.42,85.42,85.42,85.42,77.58
91.76,91.76,91.76,91.76,91.76,88.43,88.43,88.43,88.43,88.43,79.25
90.37,90.37,90.37,90.37,90.37,86.76,86.76,86.76,86.76,86.76,79.25
88.98,88.98,88.98,88.98,88.98,85.09,85.09,85.09,85.09,85.09,79.25
87.59,87.59,87.59,87.59,87.59,83.42,83.42,83.42,83.42,83.42,79.25
86.2,86.2,86.2,86.2,86.2,81.75,81.75,81.75,81.75,81.75,79.25
82.72,82.72,82.72,82.72,82.72,75.83,75.83,75.83,75.83,75.83,75.83
84.45,84.45,84.45,84.45,84.45,77.55,77.55,77.55,77.55,77.55,77.55
86.17,86.17,86.17,86.17,86.17,79.28,79.28,79.28,79.28,79.28,79.28
87.89,87.89,87.89,87.89,87.89,81.0,81.0,81.0,81.0,81.0,81.0
89.62,89.62,89.62,89.62,89.62,82.72,82.72,82.72,82.72,82.72,82.72
91.34,91.34,91.34,91.34,91.34,84.45,84.45,84.45,84.45,84.45,84.45
93.06,93.06,93.06,93.06,93.06,86.17,86.17,86.17,86.17,86.17,86.17
95.07,95.07,95.07,95.07,95.07,89.04,89.04,89.04,89.04,89.04,89.04
97.08,97.08,97.08,97.08,97.08,91.91,91.91,91.91,91.91,91.91,91.91
99.09,99.09,99.09,99.09,99.09,94.79,94.79,94.79,94.79,94.79,94.79
101.11,101.11,101.11,101.11,101.11,97.66,97.66,97.66,97.66,97.66,97.66
98.77,98.77,98.77,98.77,98.77,90.76,90.76,90.76,90.76,90.76,88.43
100.11,100.11,100.11,100.11,100.11,90.93,90.93,90.93,90.93,90.93,87.59
101.44,101.44,101.44,101.44,101.44,91.1,91.1,91.1,91.1,91.1,86.76
102.78,102.78,102.78,102.78,102.78,91.26,91.26,91.26,91.26,91.26,85.92
104.11,104.11,104.11,104.11,104.11,91.43,91.43,91.43,91.43,91.43,85.09
105.45,105.45,105.45,105.45,105.45,91.6,91.6,91.6,91.6,91.6,84.26
106.78,106.78,106.78,106.78,106.78,91.76,91.76,91.76,91.76,91.76,83.42
111.23,111.23,111.23,111.23,111.23,98.72,98.72,98.72,98.72,98.72,91.76
115.68,115.68,115.68,115.68,115.68,105.67,105.67,105.67,105.67,105.67,100.11
120.13,120.13,120.13,120.13,120.13,112.62,112.62,112.62,112.62,112.62,108.45
124.58,124.58,124.58,124.58,124.58,119.57,119.57,119.57,119.57,119.57,116.79
120.64,120.64,120.64,120.64,120.64,110.12,110.12,110.12,110.12,110.12,105.3
